id,sequence
fadg0_si1279,妗槼詨悱
fadg0_si1909,菄塭衢奕蚜
fadg0_si649,洈鍵秏卜乖簁雃鍵翭唻
fadg0_sx109,畫頓愆銢矚括戴軺
fadg0_sx19,篕撈罣黈餰羖瀝屺糒
fadg0_sx199,段蠈槼车馲妗栺見瀹郙
fadg0_sx289,虈婠篕湖炎硍干
fadg0_sx379,矛侒颳瀴遇濩
faks0_si1573,豐畈塭栺僄饒塭寋卜餕錫
faks0_si2203,粥殀篕鼷灞硍躨菼
faks0_si943,訟篕瀔棌毨瘁篕撈妗悱欸
faks0_sx133,牳赳丁鍵憢遇
faks0_sx223,篕債慷邴崱蛾虇
faks0_sx313,仝鮈樁裚剜篕瘁滵
faks0_sx403,矚診翭渣馲栺堷咮殀
faks0_sx43,鋠嗶仝芄
fcal1_si1403,娭箊怪澫塭蹸萇媺肉
fcal1_si2033,鳩殶諆冽韋襡埬鼷
fcal1_si773,鞃瀝繄澦柴瑏
fcal1_sx143,謹剴牷趿舸剴篕撈
fcal1_sx233,榴塭槨虺
fcal1_sx323,卜訟塭圉鍵霰僄樅
fcal1_sx413,揤乖氳法鋕敵
fcal1_sx53,略篕齾債秪躇柑
fcmh0_si1454,舵債翰跍褟琳痲寋餰瓴暐篕馮篕瀝逖
fcmh0_si2084,篕倇塭镼塭
fcmh0_si824,鼉瓅檴机塭鮈樊壈閶卜
fcmh0_sx104,藅傑篕矧篕除
fcmh0_sx14,趿鱼寋賏書篕
fcmh0_sx194,镼塭削鷦鮈怮
fcmh0_sx284,鄈鶐樁索塭歲篕鼷卜圮
fcmh0_sx374,洖糒愎瘁攠
fdac1_si1474,膛舸剴非汃葹嵢張
fdac1_si2104,仝鮈藅鋮埬嘟硍剴瀝鮈
fdac1_si844,瑂務体翰篕蚜塭鑾寋鳳剴潸瀝張秪塭
fdac1_sx124,鮈鞈棌趿諔
fdac1_sx214,裚洶債鮈遇鋮蘌塭洘
fdac1_sx304,汰琳鱸寋丐邏鮈遇
fdac1_sx34,狳畈籃尚
